"","STATEFP","COUNTYFP","COUNTYNS","GEOID","NAME","NAMELSAD","LSAD","CLASSFP","MTFCC","CSAFP","CBSAFP","METDIVFP","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON"
"42","25","017","00606935","25017","Middlesex","Middlesex County","06","H4","G4020","148","14460","15764","N",2118147279,75727649,"+42.4817114","-071.3949166"
"43","36","061","00974129","36061","New York","New York County","06","H6","G4020","408","35620","35614","C",58678310,28554415,"+40.7766419","-073.9701871"
"44","34","029","00882279","34029","Ocean","Ocean County","06","H1","G4020","408","35620","35614","A",1628693208,742185053,"+39.8656690","-074.2588636"
"45","42","101","01209187","42101","Philadelphia","Philadelphia County","06","H6","G4020","428","37980","37964","C",347519325,22089787,"+40.0093755","-075.1333459"
"46","06","081","00277305","06081","San Mateo","San Mateo County","06","H1","G4020","488","41860","41884","A",1161542720,757525243,"+37.4146633","-122.3715451"
"47","11","001","01702382","11001","District of Columbia","District of Columbia","00","H6","G4020","548","47900","47894","F",158364990,18633403,"+38.9041031","-077.0172290"
"48","29","161","00758535","29161","Phelps","Phelps County","06","H1","G4020",NA,"40620",NA,"A",1739898247,6587832,"+37.8663263","-091.7903492"
"49","01","047","00161549","01047","Dallas","Dallas County","06","H1","G4020",NA,"42820",NA,"A",2534807220,39134809,"+32.3335397","-087.1143556"
"50","41","005","01155127","41005","Clackamas","Clackamas County","06","H1","G4020","440","38900",NA,"A",4844375769,31814091,"+45.1604934","-122.1951274"
"51","05","145","00069906","05145","White","White County","06","H1","G4020","340","42620",NA,"A",2680883279,18261873,"+35.2551175","-091.7530339"
"52","12","057","00295757","12057","Hillsborough","Hillsborough County","06","H1","G4020",NA,"45300",NA,"A",2642601093,635570785,"+27.9066072","-082.3497186"
"53","08","069","00198150","08069","Larimer","Larimer County","06","H1","G4020",NA,"22660",NA,"A",6723986975,98048035,"+40.6580933","-105.4867638"
"54","13","027","00345518","13027","Brooks","Brooks County","06","H1","G4020",NA,"46660",NA,"A",1277108508,12188514,"+30.8229337","-083.5819054"
"55","39","035","01074030","39035","Cuyahoga","Cuyahoga County","06","H1","G4020","184","17460",NA,"A",1184017002,2041887878,"+41.7603920","-081.7242168"
"56","18","159","00450394","18159","Tipton","Tipton County","06","H1","G4020",NA,NA,NA,"A",674797595,68028,"+40.3102294","-086.0562066"
"57","12","095","00295750","12095","Orange","Orange County","06","H1","G4020","422","36740",NA,"A",2339574474,258790917,"+28.5144350","-081.3232950"
"58","34","029","00882279","34029","Ocean","Ocean County","06","H1","G4020","408","35620","35614","A",1628693208,742185053,"+39.8656690","-074.2588636"
"59","39","095","01074060","39095","Lucas","Lucas County","06","H1","G4020","534","45780",NA,"A",882812540,660501958,"+41.6823213","-083.4689033"
"60","06","073","00277301","06073","San Diego","San Diego County","06","H1","G4020",NA,"41740",NA,"A",10895227071,826282961,"+33.0236041","-116.7761174"
"61","01","047","00161549","01047","Dallas","Dallas County","06","H1","G4020",NA,"42820",NA,"A",2534807220,39134809,"+32.3335397","-087.1143556"
"62","12","086","00295755","12086","Miami-Dade","Miami-Dade County","06","H1","G4020","370","33100","33124","A",4917324056,1379396151,"+25.6105796","-080.4991365"
