"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl","lon","lat"
"tpel78","believe in good...believe in evil... believe if you are not one you are the other..#UI #OpISIS #CtrlSec
#Oathkeepers #Djinn 
#OpSaveAnonHunters #DevBlockedMeSec",128123,4295,29600,3626,NA,"T.J. Pelletier #UI",2012-12-20 06:17:57,FALSE,FALSE,"tpel78","Behind you...","en","1023649345",343,FALSE,"http://pbs.twimg.com/profile_images/726706701290856450/iL8AAMVG_normal.jpg",NA,NA
"usn112006","",11173,551,2761,696,NA,"70",2014-07-09 14:38:18,FALSE,FALSE,"usn112006","","en","2691301089",37,FALSE,"http://pbs.twimg.com/profile_images/565508498721886208/JvaivApY_normal.jpeg",NA,NA
"svetlanagpiano","Common sense conservative,grew up in Moscow-former Soviet Union;know what means 2live under government dictatorship in socialistic country!Prof concert pianist",21909,512,13800,420,NA,"Svetlana Gorzhevskay",2016-05-05 19:14:38,FALSE,FALSE,"svetlanagpiano","Thousand Oaks, CA","en","728301896125927424",64,FALSE,"http://pbs.twimg.com/profile_images/731988081000075264/UrpFjopo_normal.jpg",-118.8375937,34.1705609
"soccbballmom","Mom of 2 boys, wife and catholic conservative, willing to fight for freedom for my kids like I enjoyed, school and school sport volunteer, #TGDN",88123,3907,14070,4229,NA,"Conservative Mama",2011-11-15 21:46:09,FALSE,FALSE,"soccbballmom","","en","413430793",144,FALSE,"http://pbs.twimg.com/profile_images/755961180892430339/m6FM48hC_normal.jpg",NA,NA
"Allwaysrite55","REMEMBER THEY GAVE ALL! OBAMA PLANS TO TAKE ALL YOUR GUNS AND FREEDOM OF CHOICE! AMERICA MUST STAND TALL! OR AMERICA WILL FALL!",10318,1910,100568,1948,NA,"Jim Deford",2010-08-31 02:21:16,FALSE,FALSE,"Allwaysrite55","USA","en","185034929",31,FALSE,"http://pbs.twimg.com/profile_images/804899964413509632/KkdkDguK_normal.jpg",-95.712891,37.09024
"LucretiaFalls","A nation of sheep will beget a government of wolves.",985,54,1032,81,NA,"Lucretia Falls",2016-11-19 04:07:38,FALSE,FALSE,"LucretiaFalls","Florida, USA","en","799826440439156736",4,FALSE,"http://pbs.twimg.com/profile_images/799829100852604928/Ya4weydW_normal.jpg",-81.5157535,27.6648274
"samspeed41","Microsoft",4401,821,1413,216,NA,"Sam Speed",2015-10-11 21:12:48,FALSE,FALSE,"samspeed41","","en","3931100939",11,FALSE,"http://pbs.twimg.com/profile_images/787258800327761920/aFVUDiCb_normal.jpg",NA,NA
"sheilafla345","enjoys life and travel been to loads of countries around the world.i voted leave member of Ukip.no lists or will block #bluehand & #bluehandfamily",65397,2946,56763,3256,NA,"shielafla345",2016-04-07 16:43:33,FALSE,FALSE,"sheilafla345","england","en-GB","718117017153306625",68,FALSE,"http://pbs.twimg.com/profile_images/801388811435606016/yHYz3aUK_normal.jpg",-1.1743197,52.3555177
"njoanyork","no one special, ask anyone",38144,1155,16671,1806,NA,"n joan york",2015-04-07 22:07:51,FALSE,FALSE,"njoanyork","colorado usa","en","3145706092",99,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_4_normal.png",-105.7820674,39.5500507
"ProvenzanoF","Produtor de Eventos,s√≥cio na empresa http://t.co/kUQnpxIQyf, T√©cnico de Boxe http://t.co/b1rcJVfh3a,  P√≥s Graduado em Com√©rcio Exterior..torcedor do Coritiba!",7508,122,2232,302,NA,"Gilson Provenzano F¬∫",2012-02-10 03:54:33,FALSE,FALSE,"ProvenzanoF","Balne√°rio Cambori√∫ - SC","pt","488139029",5,FALSE,"http://pbs.twimg.com/profile_images/593288607357632512/XcVRGxUf_normal.jpg",-48.6356285,-26.9930938
"KJPritchard4","USMA West Point Mom, Pro Military, Christian, Soc & Econ Conservative, Schl Tchr (Reading Specialist), ProLife, Pro 2nd Amend, Pro Israel, Go Army/Beat Navy!",41106,1203,39734,2262,NA,"K. J. Pritchard",2015-09-07 23:29:38,FALSE,FALSE,"KJPritchard4","USA","en","3581716035",171,FALSE,"http://pbs.twimg.com/profile_images/767542870421233664/tb31yfaj_normal.jpg",-95.712891,37.09024
"calidakotagirl","There will be better days!",15219,822,57,2022,NA,"Laurel",2012-06-20 01:03:12,FALSE,FALSE,"calidakotagirl","","en","613007356",15,FALSE,"http://pbs.twimg.com/profile_images/3541672197/6bd90de4e457921bcf11975aadb8b9a6_normal.jpeg",NA,NA
"noblefacts","‚ÄúI am a Republican..I never intend to belong to any other party than the party of freedom and progress‚Äù Fredrick Douglas1818-1895 ESCAPE LIBERAL EXPLOITATION!",75074,2964,8012,3473,NA,"A. Concerned Citizen",2009-04-05 00:41:52,FALSE,FALSE,"noblefacts","USA","en","28905454",182,FALSE,"http://pbs.twimg.com/profile_images/719056721/f_douglas_normal.jpg",-95.712891,37.09024
"RruthRon","",5017,93,6490,275,NA,"RON",2014-05-04 02:53:05,FALSE,FALSE,"RruthRon","","en","2526957297",19,FALSE,"http://pbs.twimg.com/profile_images/473480558144929793/xUzilABr_normal.jpeg",NA,NA
"dlkane055","",1175,314,9899,544,NA,"Deplorable Redneck",2016-09-13 00:58:51,FALSE,FALSE,"dlkane055","","en","775498945330028544",4,FALSE,"http://pbs.twimg.com/profile_images/791092357026504704/OhFVBWdo_normal.jpg",NA,NA
"FURDOG54","",29461,481,9782,277,NA,"TRUMP**DOG",2014-12-03 23:19:37,FALSE,FALSE,"FURDOG54","","en","2918014430",48,FALSE,"http://pbs.twimg.com/profile_images/795837056194789376/OnlDKt4c_normal.jpg",NA,NA
"DalborgaCoxa","A VERDADE NUA E CRUA, DOA A QUEM DOER!",39560,3214,2170,3167,NA,"DalborgaCoxa",2012-10-03 08:40:46,FALSE,FALSE,"DalborgaCoxa","Rep√∫blica de Curitiba - Paran√£","pt","859387057",11,FALSE,"http://pbs.twimg.com/profile_images/760186449446723585/nggdwCAo_normal.jpg",-49.2880919,-25.4767303
"zanadu99laura","",32347,1374,18324,1905,NA,"laura schmidt",2015-01-14 00:03:00,FALSE,FALSE,"zanadu99laura","","en","2981075888",138,FALSE,"http://pbs.twimg.com/profile_images/555154223457775616/lXQUAeYM_normal.jpeg",NA,NA
"Shimmyfab","Lay thine eyes upon the field where I grow my fucks and see that it is barren ...
Put Liberal Tears on my salad ...
I'm not the devil but I won't be your hero.",172795,9194,81342,9949,NA,"Filthy O'Hoolihan",2012-07-06 18:57:23,FALSE,FALSE,"Shimmyfab","","en","628638850",412,FALSE,"http://pbs.twimg.com/profile_images/745035320194965504/goaAHsRW_normal.jpg",NA,NA
"NelsonForTruth","Entrepreneur, rainmaker, Capitalist fighting to preserve our rights to private property, our individual liberties and our right to pursue our own happiness",44039,1342,1409,3342,NA,"Nelson Taylor",2015-10-24 15:43:10,FALSE,FALSE,"NelsonForTruth","USA","en","4032512903",85,FALSE,"http://pbs.twimg.com/profile_images/794348522934075392/2egPM0me_normal.jpg",-95.712891,37.09024
"AdmiralAlice","Thank you Hillary for introducing new people to the alt right. This is where political correctness goes to die and memes are real. I will be your guide.",3508,93,3159,119,NA,"Waifu High Command",2013-01-09 15:59:26,FALSE,FALSE,"AdmiralAlice","","en","1074165290",4,FALSE,"http://pbs.twimg.com/profile_images/798546170901659649/LOAGVeXn_normal.jpg",NA,NA
"LodiSilverado","Ì†ºÌ∑∫Ì†ºÌ∑∏American Patriot ~ #Trump2016 ~ #IStandWithIsraelÌ†ºÌ∑ÆÌ†ºÌ∑± #AntiIslam #AntiNazi #ProLife ~ Twitter Promotes Muslim Brotherhood ~ #Twexit https://t.co/FQIN3U0WTD",259660,34346,47449,15986,NA,"Lodi Silverado",2012-10-18 14:54:32,FALSE,FALSE,"LodiSilverado","California","en","889024146",514,FALSE,"http://pbs.twimg.com/profile_images/494166379604357120/hzCx2A3J_normal.png",-119.4179324,36.778261
"pennylanes5521","Saving America",21504,468,18328,235,NA,"Penny",2016-08-22 02:45:26,FALSE,FALSE,"pennylanes5521","United States","en","767553236878266369",0,FALSE,"http://pbs.twimg.com/profile_images/767555251981344769/fVp3GMFB_normal.jpg",-95.712891,37.09024
"Trudyadair1","I am a Orthodox Christian,Conservative, a believer in Our Constitution, Very PRO Israel, animal lover, devoted to our wonderful country, and importantly ..a Mom",1702,124,1781,212,NA,"Trudence Kaplan",2015-11-14 03:17:08,FALSE,FALSE,"Trudyadair1","New Mexico, USA","en","4230218474",5,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_6_normal.png",-105.8700901,34.5199402
"MoronPres","Deplorable & Born in a hospital. Exposing the Hag who is a College Grad, Lawyer?, LOL, Unindicted felon! Big fraud! Da FBI is on her ass.",53962,2004,1218,2855,"https://t.co/bmxiKuxhNk","RedNeck Deplorable",2011-02-02 16:49:19,FALSE,FALSE,"MoronPres","New York, USA","en","246351909",49,FALSE,"http://pbs.twimg.com/profile_images/792560590069702656/4m125ho4_normal.jpg",-74.0059413,40.7127837
"robert7019","ad captandum vulgus‚öî No-Islam ‚õîÔ∏è.Pro Isra√´l.#MNGA #Bluehand #NoRacism #NoFacism #PATRIOT #LISTING = BLOCK DEUS VULT #MEGA ‚öúÔ∏èÌ†ºÌ∑≥Ì†ºÌ∑±‚öúÔ∏è #MyCountry ‚öúÔ∏èÌ†ºÌ∑≥Ì†ºÌ∑±‚öúÔ∏è#PVV",28485,2055,8054,1015,NA,"Indigenous Knight",2016-01-12 04:16:15,FALSE,FALSE,"robert7019","DUTCH PRIDE","en","4780779442",96,FALSE,"http://pbs.twimg.com/profile_images/804795207506083842/HoPtkhM3_normal.jpg",NA,NA
"JuliePitts5","",9648,143,7913,98,NA,"Julie Pitts",2012-05-10 02:04:14,FALSE,FALSE,"JuliePitts5","Washington, USA","en","575849134",32,FALSE,"http://pbs.twimg.com/profile_images/704821153123082241/kB1YyLY4_normal.jpg",-77.0368707,38.9071923
"RadicalRW","NOW WE FIGHT FOR OUR Freedoms or DIE TRYING DONTTREADONME #BOLDLY SPEAK #TRUTH TO POWER! IWILLNOTCOMPLY! DEPORT ISLAM & ILLEGALS! Dont like USA PLEASEleave",463458,4324,93819,4985,NA,"MOLONLABE",2009-11-02 17:44:41,FALSE,FALSE,"RadicalRW","ARREST obamaclintonhumajarrett","en","86989456",314,FALSE,"http://pbs.twimg.com/profile_images/785646236254793728/Zy2cmdWt_normal.jpg",NA,NA
"KA26Barman","Spammer of opinions I like. Gets your tweets out to other supporters / debaters Pro #Union #Brexit & #Trump
Lists - Ask 1st or maybe blocked",1398,364,245,316,NA,"ŸÜ",2011-08-09 00:06:52,FALSE,FALSE,"KA26Barman","SW Scotland","en","351241333",67,FALSE,"http://pbs.twimg.com/profile_images/753015975243423744/ooDkpMxf_normal.jpg",-4.2026458,56.4906712
"MsnDxn","",1858,4350,3,3326,"https://t.co/bkcrg3omS7","Mason Dixon",2009-05-10 02:02:59,FALSE,FALSE,"MsnDxn","","en","38974140",18,FALSE,"http://pbs.twimg.com/profile_images/604081794623791104/uIIIQzuB_normal.jpg",NA,NA
"SuperK4super","Humanitarian Catholic RN mom
Indep-Conservative Pro Life #2A
Pro Israel Military Blue Line LEOs Devout 2Blessed Mother,RRR Animal lover 
‚òÜDeplorable ‚òÜ4Trump",23066,3181,15557,5001,"https://t.co/7ZBZo1DDW4","‚òÜPatriot‚òÜ 4 Christ",2015-01-10 15:56:43,FALSE,FALSE,"SuperK4super","U.S.A.","en","2972417742",81,FALSE,"http://pbs.twimg.com/profile_images/665970763682287616/xUSFtBtQ_normal.jpg",-95.712891,37.09024
"NateJames44","I pledge allegiance to the flag & the United State of America, And to the Republic for which its stands, One Nation, Under God, with Liberty & Justice for All.",2509,218,9935,551,NA,"Nathan James",2016-02-16 17:06:03,FALSE,FALSE,"NateJames44","Colorado, USA","en","4916894125",12,FALSE,"http://pbs.twimg.com/profile_images/789488797520056320/QC5F1plc_normal.jpg",-105.7820674,39.5500507
"SuzikinsSays","While it's important to love yourself flaws and all, it equally important to respect yourself enough to evolve and grow into a better version of you.",18669,2155,33822,1842,NA,"Sparkly Suzikins",2015-10-06 00:28:50,FALSE,FALSE,"SuzikinsSays","Twittersphere","en","3797652973",58,FALSE,"http://pbs.twimg.com/profile_images/803574465888034816/RaTriFa6_normal.jpg",NA,NA
"cory_sha","‚úàÔ∏èRjet Ì†ºÌ∑∫Ì†ºÌ∑∏Avid Trump Supporter And Proud! #SupportOurTroops",570,45,522,163,NA,"Cory Sha",2012-09-24 23:57:44,FALSE,FALSE,"cory_sha","Indiana, USA","en","844525454",0,FALSE,"http://pbs.twimg.com/profile_images/786038165509332992/mWmYYSfB_normal.jpg",-86.1349019,40.2671941
"abc7adrienne","Host of Eyewitness Newsmakers follows News, the Arts, Great Food, and Fashion",1131,2164,380,661,"http://t.co/wA2krgJd0y","Adrienne Alpert",2012-01-22 18:11:48,FALSE,TRUE,"abc7adrienne","Los Angeles, CA","en","471291013",62,FALSE,"http://pbs.twimg.com/profile_images/637853452899516416/5LKkT-Wh_normal.jpg",-118.2436849,34.0522342
"crafty60","Hurt Feelings Are A Hate Crime @UN",33285,423,174,679,"https://t.co/6ymmSrwOfm","Hate Speech Expert:)",2009-01-04 21:37:13,FALSE,FALSE,"crafty60","Sippery Slope, Canada","en","18612314",53,FALSE,"http://pbs.twimg.com/profile_images/714222895266926593/rb1Tq8V7_normal.jpg",-71.146813,44.547533
"Devildog771","Retired Army, Enlisted as Private, Retired Major, RN,PhD I hate +block unfollowers, trolling not permitted Proud member of TrumpTrain",36209,1144,28129,597,NA,"Devildog771",2013-02-04 00:05:15,FALSE,FALSE,"Devildog771","USA","en","1146579649",105,FALSE,"http://pbs.twimg.com/profile_images/698612493724221440/RapFk3ds_normal.jpg",-95.712891,37.09024
"wescasas","I'm Weston James Richardson and I produce music, studying history at Channel Island Univsersity. I hope you are satisfied. Ì†ºÌ∑∫Ì†ºÌ∑∏‚úåÌ†ºÌøºÔ∏èInsta = @westonrichardson",247,157,43,1128,"https://t.co/JAhjaVStsH","Weston Richardson",2013-12-15 10:40:26,FALSE,FALSE,"wescasas","Los Angeles, CA","en","2247015428",10,FALSE,"http://pbs.twimg.com/profile_images/786578041698816000/hW1Y2QPj_normal.jpg",-118.2436849,34.0522342
"Luanshihtzu","AMERICANS FIRST!! Breeder and Enthusiast https://t.co/ATrlzmpTJ5 Sphynx - Breeder and Enthusiast https://t.co/7qBuuIitoj",21114,642,24899,556,"https://t.co/7qBuuIitoj","Analyn SikesÌ†ΩÌ∞∏gab.ai",2012-03-03 23:46:31,FALSE,FALSE,"Luanshihtzu","Ladson, SC","en","513734380",52,FALSE,"http://pbs.twimg.com/profile_images/793334786232348673/yCNgtg32_normal.jpg",-80.1098123,32.9857275
"browt1971","",7275,145,3691,112,NA,"Tracy smith",2016-03-24 04:43:15,FALSE,FALSE,"browt1971","","en","712862315574599682",16,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_2_normal.png",NA,NA
"QwanZone","",699,26,5,80,NA,"Neo",2016-09-20 06:49:00,FALSE,FALSE,"QwanZone","","en","778123776714219520",14,FALSE,"http://pbs.twimg.com/profile_images/797869977458110464/YfRrZ1Aa_normal.jpg",NA,NA
"cztardustabf","GO USA!  VOTE TRUMP 2016!  All Lives Matter! Fair trade, not Free Trade! Support our police! Whatever it is, I'm against it!Total clown, don't take me seriously",8338,368,6086,138,NA,"brent ford",2015-09-19 06:47:30,FALSE,FALSE,"cztardustabf","","en-gb","3704509697",42,FALSE,"http://pbs.twimg.com/profile_images/751728167111561216/U3CEpmyx_normal.jpg",NA,NA
"dovorah001","Happily married Navy wife Marine daughter Army mom .‚ù§Ô∏è Trauma Surgical Nurse. Not a liberal bone in my body #RNR #NRA #BlueHand #Nationalist PROUD AmericanÌ†ºÌ∑∫Ì†ºÌ∑∏",111327,10298,145877,8497,NA,"Dovorah",2012-05-30 02:44:02,FALSE,FALSE,"dovorah001","United States","en","594233612",150,FALSE,"http://pbs.twimg.com/profile_images/796526426216366081/dzONlx6-_normal.jpg",-95.712891,37.09024
"ChrisNoelMills","Patriot ReTweeter!!!  Proud Black Trump Supporter and Proud Conservative - I Love God and My Country!!!",26957,382,34389,116,NA,"Christina Mills",2012-09-29 03:20:49,FALSE,FALSE,"ChrisNoelMills","","en","852160537",39,FALSE,"http://pbs.twimg.com/profile_images/704750009883992064/A-GyYvjT_normal.jpg",NA,NA
"1776forever1812","Conservative Christian - Native American - Comp. Target Shooter and Archer - Trucker - NOT a tech expert #2A #1A  RTs do not mean I always agree with content",20694,3237,5252,3427,NA,"1776forever1812",2013-02-17 18:23:05,FALSE,FALSE,"1776forever1812","Seneca Stronghold NY","en","1190619092",153,FALSE,"http://pbs.twimg.com/profile_images/461982168231600129/HI-wIo6__normal.jpeg",-74.0059413,40.7127837
"giosgroi","Appreciate and enjoy what you have in every way . Lover of animals. Work as a carer. Conservative gay.",44897,1589,91355,1482,NA,"Gio",2015-07-12 03:03:19,FALSE,FALSE,"giosgroi","Australia","en","3276956724",115,FALSE,"http://pbs.twimg.com/profile_images/779473738752405504/uc0Qq4E3_normal.jpg",133.775136,-25.274398
"akleyn7","My dream is to have a sensuous white lady as my life long soul mate. I just ‚ô° my W(hipped) cream. #whitepeoplemattersaswell",1367,295,29727,465,NA,"AndreKleyn",2012-05-18 15:31:21,FALSE,FALSE,"akleyn7","Sadly South Africa","en","583988523",0,FALSE,"http://pbs.twimg.com/profile_images/677189339458240512/PxZNx5HV_normal.jpg",32.3018661,31.2652893
"NYPolJunkie","Protect & Defend The Constitution from foreign & domestic threats. Christian & @NRAWomen RT's ‚â† Endorsement @realjameswoods @allenwest Pls NO lists. #MAGA",55476,3909,8418,2914,NA,"TaylorinNY",2011-04-13 19:26:23,FALSE,FALSE,"NYPolJunkie","The Burbs of Gotham","en","281685471",75,FALSE,"http://pbs.twimg.com/profile_images/773636422922272769/vQ04e0IU_normal.jpg",NA,NA
"SilhouetteFit","creative lifting coach for Battle of the Blades on CBC,Professional figure skater, Fitness , Pilates instructor and sport conditioning trainer.",18293,284,35,418,"https://t.co/BBEAAYovBE","Christine Beleznay",2009-10-16 01:57:02,FALSE,FALSE,"SilhouetteFit","","en","82770282",44,FALSE,"http://pbs.twimg.com/profile_images/1720118003/back__silhouette1_normal.jpg",NA,NA
"_StarlightLive_","Christian ;D‚ô•‚àû!/Superman_For Christopher Reeve ‚ô•  In my world, everyones a Superhero 06/20/75 #Gemini #troubleshooter #HereForThePeople",512562,3827,397851,4998,"https://t.co/sINoEg01i8","StarlightLive",2010-07-08 19:14:08,FALSE,FALSE,"_StarlightLive_","The World","en","164387354",494,FALSE,"http://pbs.twimg.com/profile_images/454097704545579008/kcSPnvSM_normal.jpeg",55.166667,25.216667
"alexpastri","",31531,176,2248,207,NA,"Alexispastri",2015-07-05 15:11:59,FALSE,FALSE,"alexpastri","entre france et chine","fr","3360740603",54,FALSE,"http://pbs.twimg.com/profile_images/621933552704319488/CFTwKrr1_normal.jpg",NA,NA
"TrustyGordon","Grandpa:#WorldNews: #Independents #Patriots #Christians #Seniors #Constitution #Veterans  #Truckers #Farmers #Sheriffs #Deplorables #PresElectTrump #Corruption",163469,103646,11092,20687,"https://t.co/BBPvCqjCuF","LibertyForce",2010-03-03 23:11:07,FALSE,FALSE,"TrustyGordon","","en","119534385",594,FALSE,"http://pbs.twimg.com/profile_images/761691637676281856/GOce7s59_normal.jpg",NA,NA
"israel_prenger","It's time to fight for our future!",5208,479,176,509,NA,"Deplorable Ninja",2015-01-25 02:21:08,FALSE,FALSE,"israel_prenger","Wisconsin, USA","en","2995211850",37,FALSE,"http://pbs.twimg.com/profile_images/689279163287646208/jpTKTpp6_normal.jpg",-88.7878678,43.7844397
"DorH84607784","LIVING LIFE ON LIFES TERMS... NATIVE AMERICANS 4 TRUMP....Where two or more are gathered....#God...WE DID IT!",46592,2946,31974,3043,NA,"GodSpeed",2016-03-21 04:17:49,FALSE,FALSE,"DorH84607784","Co. USA","en","711768753344675841",124,FALSE,"http://pbs.twimg.com/profile_images/745130292348760064/Sc3x6GJk_normal.jpg",-105.7820674,39.5500507
"aintnobarbie","",1834,253,2942,211,NA,"aintnobarbie",2009-05-25 01:05:09,FALSE,FALSE,"aintnobarbie","","en","42318346",3,FALSE,"http://pbs.twimg.com/profile_images/1161499631/barbie-cat_normal.jpg",NA,NA
"Teria1950","Such a beautiful day! finally someone that can't be bought. He is taking time to pick his people,around 4000. but,they can't buy the position no bribes!",31333,615,814,581,NA,"T.W.",2016-07-08 21:55:44,FALSE,FALSE,"Teria1950","Chicago,Illinois","en","751535263269216256",78,FALSE,"http://pbs.twimg.com/profile_images/751575589702754304/k2ofif1g_normal.jpg",-87.6297982,41.8781136
"suzanne2222","Wattle in the blood.",11813,574,5422,453,NA,"suzanne",2009-08-10 22:58:37,FALSE,FALSE,"suzanne2222","","en","64542883",50,FALSE,"http://pbs.twimg.com/profile_images/378800000635827178/20ddd896fae15330eb663c06e84c0f4b_normal.jpeg",NA,NA
"SandyMSantiago","If You Don't Believe in Yourself, No One Else Will. -D.J.Trump",23757,636,17737,394,NA,"#Latinas4Trump",2009-11-29 23:50:05,FALSE,FALSE,"SandyMSantiago","New Jersey","en","93510282",57,FALSE,"http://pbs.twimg.com/profile_images/2892325180/bd50f9af41c0c3346216174f75bf044b_normal.jpeg",-74.4056612,40.0583238
"redwarpig","Please add me to your list so I can follow more Trump lovers. Pro America Anti islam. Not everything I RT/like I agree with, enjoy sharing views.",95767,3033,74958,2835,NA,"DeplorablewarpigÌ†ΩÌ∞ó",2013-01-20 15:15:24,FALSE,FALSE,"redwarpig","I.D.O.C.R.A.C.Y U.S.A","en","1106503729",288,FALSE,"http://pbs.twimg.com/profile_images/700545300822257664/8p6IMrOe_normal.png",-95.712891,37.09024
"ThomasSickler","#GaysForTrump Ì†ºÌø≥Ô∏è‚ÄçÌ†ºÌºà | #MAGA Ì†ºÌ∑∫Ì†ºÌ∑∏ | #1A ‚Ä¢ #2A ‚Ä¢ #ISRAEL Ì†ºÌ∑ÆÌ†ºÌ∑± | #FreeMilo Ì†ΩÌ≥∞ | #FreeJulian Ì†ΩÌ≥° #DrainTheSwamp Ì†ºÌ∑∫Ì†ºÌ∑∏ *RT are Not Endorsements*",19192,1926,16671,4892,"https://t.co/0zPZB7Ng3L","Thomas Sickler Ì†ºÌ∑∫Ì†ºÌ∑∏",2009-01-09 20:23:39,FALSE,FALSE,"ThomasSickler","Clear Air Station ","en","18813840",91,FALSE,"http://pbs.twimg.com/profile_images/768669595041345537/u_msob4T_normal.jpg",-90.1774512,29.9752865
"trump2016fan","https://t.co/C27E0WuglR Ì†ΩÌ±âAmerica 1st! Tolerance & apathy r the last virtues of a dying society #MAGA #Trump Build the Wall! Deport! I Block lists Ì†ΩÌ∞∏",86781,23195,26388,6560,"https://t.co/h8wFZvNk64","Vegas4Trump",2015-07-03 05:43:04,FALSE,FALSE,"trump2016fan","Nevada, USA","en","3266856037",245,FALSE,"http://pbs.twimg.com/profile_images/803776496808718344/Jj5H9M-C_normal.jpg",-116.419389,38.8026097
"Hammers1010Alex","Don't like Britain ?  GTFO then.",23400,1885,21512,2652,"https://t.co/psnqYHOy5i","‚öí‚ù§BRECSTATIC‚ù§‚öí",2015-01-10 10:41:13,FALSE,FALSE,"Hammers1010Alex","‚öí fantastic Harlow ‚öí","en","2971182161",50,FALSE,"http://pbs.twimg.com/profile_images/740186442643693568/Dpzv0UNt_normal.jpg",NA,NA
"HonestAndFrank","Learn How to Write, Sketch, Draw, Ink, Color, Paint, Sculpt, Make Molds, Exercise, Dance, Broadcast, etc., on Periscope & Facebook on https://t.co/aN0esL07oU!",15617,1428,5934,3259,"https://t.co/A9aPde5D0b","Honest Frank",2010-02-14 04:02:01,FALSE,FALSE,"HonestAndFrank","If you're Under Age, BLOCK me.","en","114098575",95,FALSE,"http://pbs.twimg.com/profile_images/378800000635360784/9fc96f7b08589b07a1ee7d1cbe8cf761_normal.jpeg",NA,NA
"hammersmith78","Lover of Music new and old hammersmithmusicpromotions@gmail.com",40208,1970,19164,1686,NA,"peter stock",2011-03-02 13:10:01,FALSE,FALSE,"hammersmith78","","en","259717275",88,FALSE,"http://pbs.twimg.com/profile_images/758397190591090688/bDFxeYW__normal.jpg",NA,NA
"BrexitNoww","#BREXIT is our LAST CHANCE to #VoteLEAVE #Courage #YES to #FULLYCONTROLLEDIMMIGRATION #FREETRADE  #NO to #ZEROHours #Fascism,#HOUSINGCRISIS, #ElitestEU, #TTIP",18487,5561,24578,5929,"https://t.co/hcqVOpT6Cn","Brexit Now",2016-04-15 18:44:45,FALSE,FALSE,"BrexitNoww","RT TRUTH ABOUT EU DICTATORSHIP","en","721046621467906048",194,FALSE,"http://pbs.twimg.com/profile_images/721069203990687744/OZFOdwXw_normal.jpg",NA,NA
"sn3hal","",5763,202,2590,515,"https://t.co/jmT9KA4X3V","sn3hal",2011-01-07 13:03:04,FALSE,FALSE,"sn3hal","Mars","en","235137078",17,FALSE,"http://pbs.twimg.com/profile_images/2781345834/9217f752356f70cb166c4a778262649c_normal.png",-122.1686022,37.4226981
"debmiller96","A Christ-follower, Mike's Wife, Mom 2 four, Mimi to 3, Patriot, Constitutionalist, chocoholic, latte' addict and a proud KY Wildcats Fan",8909,415,7248,333,NA,"Patriot Girl",2009-03-12 16:10:26,FALSE,FALSE,"debmiller96","Georgia","en","23974759",20,FALSE,"http://pbs.twimg.com/profile_images/794267065066455040/S92yM_2g_normal.jpg",-82.9000751,32.1656221
"unusr1","Esoteric Christian. Trump/Putin for co-God Emperors. New crusade to retake Constantinople. Deus vult.",7305,285,13852,504,"https://t.co/iCYl5hWtSs","hitler's revenge",2010-05-28 00:02:06,FALSE,FALSE,"unusr1","Los Angeles ","en","148928173",10,FALSE,"http://pbs.twimg.com/profile_images/758030760364249090/xfzF6Dw5_normal.jpg",-118.2436849,34.0522342
"idar2dream","Animal lover, RealityTV Political junkie #SaveKiska #SaveSmooshi      #Blackfish #SaveCanadafromTrudeau",12584,467,31316,1001,NA,"idar2dream",2009-04-10 21:26:28,FALSE,FALSE,"idar2dream","Niagara Falls, Ontario","en","30317189",24,FALSE,"http://pbs.twimg.com/profile_images/797769639203770368/5NyKsfON_normal.jpg",-79.0849436,43.0895577
"newglobalright","No time for liberals & their lying media whores, social justice morons, anything Islam, anything BLM, cultural marxism, trigger warnings,safe spaces.",88,2008,2778,4010,NA,"global.new.right",2013-03-04 14:39:47,FALSE,FALSE,"newglobalright","DJT - New global conservatism ","en","1241482806",65,FALSE,"http://pbs.twimg.com/profile_images/799746215449534464/nmcWWRvE_normal.jpg",NA,NA
"JeannaEckert","#Constitution #Christian #Israel #RushBabe  #Trump  #SavageNation #Infowars. #deportillegals NO RINOS! Bring back American values Ì†ºÌ∑∫Ì†ºÌ∑∏Ì†ΩÌπè",86903,5347,32306,5305,NA,"Deplorable Jeanna Ì†ºÌºπ",2011-09-08 20:46:45,FALSE,FALSE,"JeannaEckert","Selah, WA","en","370324628",167,FALSE,"http://pbs.twimg.com/profile_images/786607629485223936/R247gBPT_normal.jpg",-120.5300666,46.6540153
"Johngalt1231","Time to hunker down.  Get in the Ark",15861,4246,790,4949,NA,"John",2013-03-22 05:05:02,FALSE,FALSE,"Johngalt1231","","en","1287792877",76,FALSE,"http://pbs.twimg.com/profile_images/636272997658001408/e7Lz7DEB_normal.jpg",NA,NA
